model,seed,concept,layer,rank,direction,context,eval_lang,acc,logit_diff,n
bigscience/bloom-560m,0,side,14,1,en,informative,hi,0.6166666666666667,0.42295176684856417,120
bigscience/bloom-560m,0,side,14,1,en,neutral,bn,0.425,-0.18686793049176534,120
bigscience/bloom-560m,0,side,14,1,en,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,14,1,en,neutral,hi,0.475,-0.002749907970428467,120
bigscience/bloom-560m,0,side,16,1,en,informative,bn,0.675,0.34848946730295816,120
bigscience/bloom-560m,0,side,16,1,en,informative,en,0.525,0.11619313557942708,120
bigscience/bloom-560m,0,side,16,1,en,informative,hi,0.6083333333333333,0.3737865855296453,120
bigscience/bloom-560m,0,side,16,1,en,neutral,bn,0.44166666666666665,-0.17521805167198182,120
bigscience/bloom-560m,0,side,16,1,en,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,16,1,en,neutral,hi,0.475,-0.043454121549924216,120
bigscience/bloom-560m,0,side,18,1,en,informative,bn,0.6583333333333333,0.31075459321339927,120
bigscience/bloom-560m,0,side,18,1,en,informative,en,0.5666666666666667,0.13983561197916666,120
bigscience/bloom-560m,0,side,18,1,en,informative,hi,0.5916666666666667,0.4071015497048696,120
bigscience/bloom-560m,0,side,18,1,en,neutral,bn,0.44166666666666665,-0.16667209068934122,120
bigscience/bloom-560m,0,side,18,1,en,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,18,1,en,neutral,hi,0.48333333333333334,-0.0378643403450648,120
bigscience/bloom-560m,0,side,20,1,en,informative,bn,0.65,0.3162393093109131,120
bigscience/bloom-560m,0,side,20,1,en,informative,en,0.5166666666666667,0.10459518432617188,120
bigscience/bloom-560m,0,side,20,1,en,informative,hi,0.6083333333333333,0.37621797919273375,120
bigscience/bloom-560m,0,side,20,1,en,neutral,bn,0.44166666666666665,-0.1683702290058136,120
bigscience/bloom-560m,0,side,20,1,en,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,20,1,en,neutral,hi,0.475,-0.02790253758430481,120
bigscience/bloom-560m,0,side,22,1,en,informative,bn,0.7,0.3630970855553945,120
bigscience/bloom-560m,0,side,22,1,en,informative,en,0.5083333333333333,0.08707860310872396,120
bigscience/bloom-560m,0,side,22,1,en,informative,hi,0.6166666666666667,0.3458115071058273,120
bigscience/bloom-560m,0,side,22,1,en,neutral,bn,0.44166666666666665,-0.13927569190661113,120
bigscience/bloom-560m,0,side,22,1,en,neutral,en,0.5,0.0,120
bigscience/bloom-560m,0,side,22,1,en,neutral,hi,0.49166666666666664,-0.02931786378224691,120
bigscience/bloom-560m,0,gender,0,1,bn,informative,bn,0.5,0.5972247322400411,120
bigscience/bloom-560m,0,gender,0,1,bn,informative,en,0.9666666666666667,0.5671707153320312,120
bigscience/bloom-560m,0,gender,0,1,bn,informative,hi,0.725,0.44294222990671794,120
bigscience/bloom-560m,0,gender,0,1,bn,neutral,bn,0.5,0.04866749942302704,120
bigscience/bloom-560m,0,gender,0,1,bn,neutral,en,0.8583333333333333,0.5211748758951823,120
bigscience/bloom-560m,0,gender,0,1,bn,neutral,hi,0.55,0.18865285714467367,120
bigscience/bloom-560m,0,gender,2,1,bn,informative,bn,0.5,0.3247044672568639,120
bigscience/bloom-560m,0,gender,2,1,bn,informative,en,0.975,0.5654772440592448,120
bigscience/bloom-560m,0,gender,2,1,bn,informative,hi,0.7166666666666667,0.44676201740900673,120
bigscience/bloom-560m,0,gender,2,1,bn,neutral,bn,0.5,-0.28191997706890104,120
bigscience/bloom-560m,0,gender,2,1,bn,neutral,en,0.85,0.5205497741699219,120
bigscience/bloom-560m,0,gender,2,1,bn,neutral,hi,0.5416666666666666,0.1869139591852824,120
bigscience/bloom-560m,0,gender,4,1,bn,informative,bn,0.5,0.6117855628331502,120
bigscience/bloom-560m,0,gender,4,1,bn,informative,en,0.95,0.5526212056477865,120
bigscience/bloom-560m,0,gender,4,1,bn,informative,hi,0.725,0.4415274898211161,120
bigscience/bloom-560m,0,gender,4,1,bn,neutral,bn,0.5,0.04948609272638957,120
bigscience/bloom-560m,0,gender,4,1,bn,neutral,en,0.85,0.5196667989095052,120
bigscience/bloom-560m,0,gender,4,1,bn,neutral,hi,0.5583333333333333,0.18092728058497112,120
bigscience/bloom-560m,0,gender,6,1,bn,informative,bn,0.5,0.6133381396532058,120
bigscience/bloom-560m,0,gender,6,1,bn,informative,en,0.9666666666666667,0.5737457275390625,120
bigscience/bloom-560m,0,gender,6,1,bn,informative,hi,0.7083333333333334,0.45896958907445273,120
bigscience/bloom-560m,0,gender,6,1,bn,neutral,bn,0.5,0.06417404512564341,120
bigscience/bloom-560m,0,gender,6,1,bn,neutral,en,0.85,0.5280426025390625,120
bigscience/bloom-560m,0,gender,6,1,bn,neutral,hi,0.5416666666666666,0.20426185925801596,120
bigscience/bloom-560m,0,gender,8,1,bn,informative,bn,0.5,0.6402742783228557,120
bigscience/bloom-560m,0,gender,8,1,bn,informative,en,0.9666666666666667,0.5711413065592448,120
bigscience/bloom-560m,0,gender,8,1,bn,informative,hi,0.7,0.4414590795834859,120
bigscience/bloom-560m,0,gender,8,1,bn,neutral,bn,0.5,0.09244264562924703,120
bigscience/bloom-560m,0,gender,8,1,bn,neutral,en,0.8583333333333333,0.5228467305501302,120
bigscience/bloom-560m,0,gender,8,1,bn,neutral,hi,0.5333333333333333,0.1901126027107239,120
bigscience/bloom-560m,0,gender,10,1,bn,informative,bn,0.5,0.6221850077311198,120
bigscience/bloom-560m,0,gender,10,1,bn,informative,en,0.9833333333333333,0.5981310526529948,120
bigscience/bloom-560m,0,gender,10,1,bn,informative,hi,0.7,0.4351180831591288,120
bigscience/bloom-560m,0,gender,10,1,bn,neutral,bn,0.5,0.08012987573941549,120
bigscience/bloom-560m,0,gender,10,1,bn,neutral,en,0.8666666666666667,0.5475087483723958,120
bigscience/bloom-560m,0,gender,10,1,bn,neutral,hi,0.5333333333333333,0.18436746597290038,120
bigscience/bloom-560m,0,gender,12,1,bn,informative,bn,0.5,0.518156177798907,120
bigscience/bloom-560m,0,gender,12,1,bn,informative,en,0.9833333333333333,0.589160410563151,120
bigscience/bloom-560m,0,gender,12,1,bn,informative,hi,0.6666666666666666,0.44314183394114176,120
bigscience/bloom-560m,0,gender,12,1,bn,neutral,bn,0.5,0.017266674836476644,120
bigscience/bloom-560m,0,gender,12,1,bn,neutral,en,0.85,0.5290606180826823,120
bigscience/bloom-560m,0,gender,12,1,bn,neutral,hi,0.5333333333333333,0.17841452757517498,120
bigscience/bloom-560m,0,gender,12,4,bn,informative,bn,0.5,0.5805676986773809,120
bigscience/bloom-560m,0,gender,12,4,bn,informative,en,0.9166666666666666,0.5680152893066406,120
bigscience/bloom-560m,0,gender,12,4,bn,informative,hi,0.675,0.440721333026886,120
bigscience/bloom-560m,0,gender,12,4,bn,neutral,bn,0.5,0.08111012279987335,120
bigscience/bloom-560m,0,gender,12,4,bn,neutral,en,0.8666666666666667,0.5177619934082032,120
bigscience/bloom-560m,0,gender,12,4,bn,neutral,hi,0.5333333333333333,0.1864752213160197,120
